FLT_NUM,DD,B,C,D,E,G,H,I,J,K,L,M,N,O,P,Q,R,T,U,V,X,Y,Z,CT,YT,TT,SORG,SDST,DemCluster,HLDate,HCBuy
1135,2018-01-01,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,61.0,63.0,AER,SVO,0,61,1
1125,2018-01-01,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,53.0,56.0,AER,SVO,0,30,1
1126,2018-01-01,0.0,0.0,3.0,3.0,0.0,19.0,0.0,12.0,14.0,64.0,8.0,0.0,5.0,0.0,14.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,20.0,130.0,150.0,SVO,AER,2,50,1
1172,2018-01-01,0.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,67.0,2.0,0.0,8.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,2.0,146.0,148.0,SVO,ASF,2,48,1
1127,2018-01-01,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,5.0,72.0,77.0,AER,SVO,0,66,1
2957,2018-01-01,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,39.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,AER,SVO,0,25,0
1141,2018-01-01,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,43.0,AER,SVO,0,33,1
1128,2018-01-01,3.0,0.0,6.0,4.0,0.0,10.0,0.0,5.0,2.0,36.0,0.0,0.0,8.0,0.0,55.0,0.0,17.0,1.0,0.0,9.0,1.0,0.0,19.0,138.0,157.0,SVO,AER,1,48,1
1140,2018-01-01,0.0,9.0,2.0,0.0,0.0,14.0,0.0,4.0,16.0,29.0,0.0,0.0,2.0,0.0,36.0,0.0,11.0,4.0,0.0,5.0,1.0,0.0,17.0,116.0,133.0,SVO,AER,1,57,1
1775,2018-01-01,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,79.0,2.0,0.0,2.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,2.0,140.0,142.0,ASF,SVO,0,29,1
1130,2018-01-01,1.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,3.0,29.0,6.0,3.0,8.0,0.0,42.0,0.0,29.0,0.0,0.0,15.0,0.0,0.0,9.0,138.0,147.0,SVO,AER,1,46,1
1134,2018-01-01,3.0,10.0,4.0,0.0,0.0,22.0,0.0,0.0,7.0,42.0,2.0,0.0,4.0,0.0,27.0,0.0,11.0,9.0,0.0,6.0,7.0,0.0,18.0,136.0,154.0,SVO,AER,1,75,1
1140,2018-01-02,5.0,3.0,0.0,0.0,83.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,5.0,19.0,0.0,5.0,146.0,151.0,SVO,AER,1,57,1
1642,2018-01-02,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,68.0,SVO,ASF,0,57,1
1123,2018-01-02,0.0,0.0,1.0,33.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,106.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,7.0,152.0,159.0,AER,SVO,2,43,1
1175,2018-01-02,0.0,0.0,0.0,32.0,2.0,0.0,2.0,0.0,5.0,11.0,0.0,37.0,0.0,0.0,14.0,0.0,21.0,0.0,0.0,10.0,1.0,0.0,2.0,133.0,135.0,ASF,SVO,1,47,1
1124,2018-01-02,11.0,5.0,2.0,1.0,3.0,34.0,0.0,5.0,15.0,50.0,3.0,2.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,14.0,160.0,174.0,SVO,AER,2,85,1
1174,2018-01-02,0.0,0.0,0.0,20.0,0.0,4.0,0.0,0.0,3.0,10.0,0.0,38.0,0.0,0.0,28.0,0.0,18.0,0.0,0.0,6.0,1.0,0.0,0.0,128.0,128.0,SVO,ASF,1,76,1
1134,2018-01-02,8.0,7.0,0.0,0.0,0.0,17.0,0.0,12.0,2.0,35.0,10.0,0.0,0.0,0.0,17.0,0.0,0.0,21.0,0.0,5.0,14.0,0.0,19.0,129.0,148.0,SVO,AER,1,111,1
1125,2018-01-02,0.0,0.0,10.0,39.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,56.0,0.0,0.0,5.0,0.0,34.0,0.0,0.0,9.0,0.0,0.0,11.0,152.0,163.0,AER,SVO,2,68,1
1173,2018-01-02,0.0,0.0,0.0,15.0,0.0,11.0,0.0,0.0,3.0,6.0,1.0,44.0,0.0,0.0,26.0,0.0,26.0,5.0,0.0,3.0,0.0,0.0,0.0,140.0,140.0,ASF,SVO,2,62,1
1126,2018-01-02,1.0,7.0,0.0,1.0,39.0,14.0,0.0,7.0,0.0,42.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,14.0,128.0,142.0,SVO,AER,2,76,1
1135,2018-01-02,3.0,0.0,6.0,14.0,0.0,7.0,0.0,5.0,3.0,13.0,0.0,36.0,3.0,0.0,21.0,0.0,14.0,1.0,0.0,5.0,0.0,2.0,16.0,117.0,133.0,AER,SVO,1,75,1
1172,2018-01-02,0.0,0.0,0.0,29.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,76.0,0.0,0.0,7.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,144.0,144.0,SVO,ASF,2,39,1
1131,2018-01-02,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,43.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,57.0,59.0,AER,SVO,0,55,1
1138,2018-01-02,0.0,4.0,4.0,0.0,0.0,30.0,0.0,9.0,20.0,40.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,19.0,125.0,144.0,SVO,AER,2,68,1
1127,2018-01-02,0.0,0.0,8.0,36.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,62.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,13.0,121.0,134.0,AER,SVO,1,48,1
1122,2018-01-02,15.0,2.0,3.0,10.0,0.0,29.0,0.0,10.0,0.0,56.0,7.0,3.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,5.0,14.0,0.0,15.0,163.0,178.0,SVO,AER,2,91,1
1130,2018-01-02,0.0,4.0,4.0,10.0,2.0,0.0,0.0,0.0,5.0,25.0,1.0,0.0,5.0,0.0,38.0,0.0,29.0,4.0,0.0,19.0,1.0,0.0,13.0,134.0,147.0,SVO,AER,1,27,0
1141,2018-01-02,0.0,0.0,2.0,30.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,76.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0,8.0,0.0,0.0,4.0,134.0,138.0,AER,SVO,2,51,1
1139,2018-01-02,0.0,0.0,3.0,18.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,91.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,125.0,130.0,AER,SVO,1,42,1
1128,2018-01-02,4.0,3.0,0.0,4.0,1.0,33.0,1.0,18.0,14.0,20.0,6.0,7.0,1.0,0.0,29.0,0.0,12.0,2.0,0.0,4.0,0.0,1.0,24.0,136.0,160.0,SVO,AER,1,36,1
1129,2018-01-02,2.0,0.0,0.0,8.0,0.0,5.0,0.0,2.0,1.0,13.0,2.0,36.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,75.0,77.0,AER,SVO,0,82,1
1643,2018-01-02,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,11.0,5.0,2.0,22.0,1.0,0.0,4.0,0.0,12.0,1.0,0.0,2.0,1.0,0.0,2.0,68.0,70.0,ASF,SVO,0,90,1
1120,2018-01-02,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,1.0,15.0,2.0,6.0,3.0,0.0,15.0,0.0,12.0,1.0,0.0,5.0,1.0,0.0,4.0,68.0,72.0,SVO,AER,1,35,1
1121,2018-01-02,0.0,0.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,65.0,65.0,AER,SVO,1,56,1
1128,2018-01-03,1.0,0.0,6.0,38.0,0.0,4.0,0.0,4.0,3.0,15.0,2.0,0.0,6.0,0.0,34.0,0.0,24.0,4.0,0.0,10.0,1.0,0.0,16.0,136.0,152.0,SVO,AER,1,20,0
1172,2018-01-03,0.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,73.0,0.0,0.0,3.0,0.0,27.0,1.0,0.0,4.0,0.0,0.0,0.0,147.0,147.0,SVO,ASF,2,39,1
1140,2018-01-03,1.0,4.0,5.0,3.0,6.0,8.0,0.0,3.0,11.0,64.0,3.0,2.0,2.0,0.0,34.0,0.0,14.0,7.0,0.0,7.0,3.0,0.0,14.0,163.0,177.0,SVO,AER,2,34,1
1129,2018-01-03,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,88.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,130.0,134.0,AER,SVO,1,18,0
1126,2018-01-03,5.0,7.0,0.0,0.0,3.0,7.0,0.0,10.0,10.0,56.0,0.0,3.0,2.0,0.0,28.0,0.0,3.0,10.0,0.0,5.0,0.0,0.0,19.0,130.0,149.0,SVO,AER,2,42,1
1173,2018-01-03,2.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,44.0,0.0,0.0,15.0,0.0,34.0,0.0,0.0,5.0,0.0,0.0,0.0,140.0,140.0,ASF,SVO,2,60,1
